id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000067,明日ちゃんのセーラー服,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e50e582baec7f2e2888884d7d118ed354284106d42b0660e94188332476023cf,2026-09-12
A00000068,Iiiあいすくりん,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::249d885dcffd51fd5dadaf6648bee5db20181aacfa13e5820904fa5a588baae8,2026-09-12
A00000069,ヴィジュアルプリズン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::4e1722296003cfef37c49f4de57b43abe54ff8312f55dd5ebd9a8c7911cc3995,2026-09-12
A00000070,ゆるキャン△ SEASON2,,,,,TV,,,,,S5e23a15b033d0e59b68dc6b1e3b9416a52516cc989966f63db02fb2215143d20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::317342a10ff8ec524bd56ad70ffcba4090403363340786ad5af3a56db3b2e267,2026-09-12
A00000071,恋は世界征服のあとで,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::ecdf44e276999f66c39e05a6bfe3a9e5ed9864d280baad0c010236613972d916,2026-09-12
A00000072,テスラノート,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2ab15d2475a99795a0ad0f6f000e5bd998a1afc10b250b5a0972a3966009ecab,2026-09-12
A00000073,ジョゼと虎と魚たち,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::41f62337c087e4f72413494413446afa2fb9ba18b25a224867fb9ee079c25d94,2026-09-12
A00000074,最果てのパラディン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::61fddcc3a37fad405db4cc299fc4b6b571c534c4d4cffaa1eaff2866e4b8317f,2026-09-12
A00000075,骸骨騎士様、只今異世界へお出掛け中,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2200cd02425920950e21a1a9dc99cb2601b6a00cac396b3aff651b2320d95247,2026-09-12
A00000076,けんぷファー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::1973755c81bd599f611272aa2da518bc9ceef8df8e656a27ae92725b34ed2a2a,2026-09-12
A00000077,かぎなど,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::50491cb739de4a46d6b87655e7859256ae5ddd700c68f39806983767464c7f40,2026-09-12
A00000078,ジョジョの奇妙な冒険 ストーンオーシャン,,,,,TV,,,,,Scd803eb382f8d97cafcb787e6877805ae3d09f64b48d6b13d5f21fe285256c85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::cdee09e775370cf507b9e30bfc2f74c0774c55ce19d6c0cb4c6a60e9a971c298,2026-09-12
A00000079,ダンス・ダンス・ダンスール,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::3603455b142c305418c2f029a5bbc4e2694441223ed3a6a8b6e4f0dab406a7a9,2026-09-12
A00000080,精霊の守り人,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::cc3b88faef378cbd782d24c12d08f44205f0fd7ca5d730d3626cef202bed5e10,2026-09-12
A00000081,神在月のこども,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::befecdf70fe3582e18b2a1e2a12abbd2dc553f26e86b006b3e20e438b50926d1,2026-09-12
