id,title_ja,title_kana,title_romaji,title_en,aliases,media_type,release_start,release_end,episode_count,runtime_min,series_id,season_number,genres,tags,target_demographic,setting,era,themes,original_type,original_title,original_author,original_artist,original_publisher,original_label,original_magazine,original_platform,animation_studio,co_animation_studio,animation_cooperation,production_name,production_committee,production_members,production_lead_company,planning,executive_producers,producers,animation_producers,line_producers,director,chief_director,series_composition,character_original_design,character_design,music,sound_director,staff,characters,opening_themes,ending_themes,insert_songs,music_production,soundtrack_label,broadcast_networks,broadcast_slots,streaming_services,film_distributor,theatrical_release_date,relations,episodes,episode_staff,awards,synopsis,image_url,official_url,official_x,official_youtube,official_other,external_ids,updated_at
A00000051,勇者刑に処す 懲罰勇者9004隊刑務記録,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::9336aa9a108fbc20be96b2f1ebb29d117fb4f7491917b2243218a32312fb23c7,2026-09-10
A00000052,家庭教師ヒットマンREBORN!,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::2cff367f84ffd52a43c1c125d4dd1a34274b7e5ba8fb25fa4c9f5370261e45e9,2026-09-10
A00000053,鴨乃橋ロンの禁断推理,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::7ef5d2e4d575d42df372abf4635a75b650340c3bb05e49d649a63c5e108af7b3,2026-09-10
A00000054,異修羅,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::7256265d7163647ba27a232566dfa85c7c4b65a8ddd949ef35b3fc4ffbe285b2,2026-09-10
A00000055,グレンダイザーU,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::363c59aaa0be888d609540465075a24cb1ec6b81fa255d0eb8ad5231e86f8c4c,2026-09-10
A00000056,トリリオンゲーム,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::414c319297ca1a54e62d66302c69510534754325c07a8f180a5a5c580ca11228,2026-09-10
A00000057,渡くんの××が崩壊寸前,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e555286017d3f16b2210269191f1773824301a020718bdb922bebad655db2ba0,2026-09-10
A00000058,青のミブロ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::25a76289f3014bf3634638aa9d00f1624cdbe8868d0e446971ef4b7936bb254e,2026-09-10
A00000059,THE ONE PIECE,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::b02ffe46fd1f69a3364448973a5fb685bbb63e598033e20c8fae76d992c491cc,2026-09-10
A00000060,アオのハコ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::fc8de0afd09e1d44b91b67621ea0065e552716ced07069d31f218d4b0a53d3b0,2026-09-10
A00000061,ダンダダン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::1943f0fb5450409113945372b2fd6876c5be7947ab2df6b2d1a256292d089909,2026-09-10
A00000062,アンデッドアンラック,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e5c7ad50a755276a807628d49d58d7cc4b7779462bc4fa90ff670e1fab083a00,2026-09-10
A00000063,無職の英雄 別にスキルなんか要らなかったんだが,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::d9155476b65165d3b4784296202307b18eb1b912c93dcc1e328b05d0d687d375,2026-09-10
A00000064,冴えない彼女の育てかた,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::43262b5a33b98912dd33e1420688b5454a37296b5249ccad55e24f00ecdf6c04,2026-09-10
A00000065,トラペジウム,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-10,,,,,,,,,,,discovery-key::22efe92b7a03ee482836af4c3f5fe0e79bd99c2de10687fee472c4d30ecd283c,2026-09-10
A00000066,ヴァンパイア男子寮,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::3feab04decf20c12089d7a62bc23bb5ed9ef7593c22ef5beac2b2368ba858eaf,2026-09-10
A00000067,ザ・ファブル,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::23d96c264f69702d6836964400757b6ecf4521537ae98692df034f645c43e438,2026-09-10
A00000068,報われなかった村人A、貴族に拾われて溺愛される上に、実は持っていた伝説級の神スキルも覚醒した,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::e3ad3c20a193c7f576f79565006a0e0e9ac9634a2fd1968696222cc39efca170,2026-09-10
A00000069,ピーター・グリルと賢者の時間 Super Extra,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::30be001e21e2349e80c19c68211f3327b2a7a4f826808b40d729c0737347a4cb,2026-09-10
A00000070,サザエさん,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::44d3524cf9ce4d943d98accfe29d6e516921119416ddd9262d70c1f0b45581a1,2026-09-10
A00000071,ブルーロック,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::0cd6165386698cf66a1e439b896745607b30b7e0e746c0d18e413246b98428ff,2026-09-10
A00000072,チェンソーマン,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::00ea3864413e63428a3553a007ed428adf44738effd3d1e2faa8022df6936ad8,2026-09-10
A00000073,うる星やつら,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::4201c7332508c2aecc3b2a857719d92c0a7cd91fb295a8034bdfc0b5384462f0,2026-09-10
A00000074,あしたのジョー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::1c4a856be09fb954748ba2e7809965350ede306315a4ed217e12cad347dc5754,2026-09-10
A00000075,エースをねらえ!,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::a9b74900f064b95ca068dcae9a4b296ae8da3c5fd604410be5abae9a32bc329f,2026-09-10
A00000076,真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::0f7fc55d5e4ab91982328dbcd8e5d4a18b027a91426e560c82c66d675e1347a7,2026-09-10
A00000077,リボンの騎士,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::55edc2849936f6ce90204a9debcf3c5de2d8e246a39fb19b31461fcf0b28c824,2026-09-10
A00000078,ちいかわ,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::bf9f6bca6eae6d6a7a10056f2a76764ad0a5e3108904c430c22d1ab3518bd726,2026-09-10
A00000079,へーい!ブンブー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::5cf0fef94d9fe12c54f0925fc7416c5fd5ca4cd3607e25d483d2505de579060b,2026-09-10
A00000080,ボビーに首ったけ,,,,,MOVIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::1bf08ba590144ccec88d7b46965537341742da23fc4f8b8a82d319bf212c532a,2026-09-10
A00000081,モノノ怪,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::fa96df9d530988e01bb1386b196fae14562de9557dea2937aa3114ae38b9755a,2026-09-10
A00000082,バビル2世,,,,,OVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::9fac8a046df5cf072a2428da4bbfb8be635516b59e19772f7cbfd00444faa30a,2026-09-10
A00000083,宇宙海賊キャプテンハーロック,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::04d915aa736e8c3baea1b6da57d4171b949562be0dd2ed0a1add88175f4e3c73,2026-09-10
A00000084,SF西遊記スタージンガー,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::0976d5cd4b34e3d37bc27b3afcdc9509e3e44090408693709b0313d7638d20af,2026-09-10
A00000085,転生したら剣でした,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::3f50080017f5442c1ed25685c9c3bd5c95bb702a316fc9146003b173c8d3dbba,2026-09-10
A00000086,異世界のんびり農家,,,,,TV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,discovery-key::966b3dc5ad1df9f2995beb3b2494e6fa184124346f5c165115c5d0bafd26db23,2026-09-10
